"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000139874",2.52211931004743,0.988495568790302,6.13593867738049,7.73460914943572e-06,0.000227045763931846,"ENSG00000139874","SSTR1"
"ENSG00000143772",1.77684311048838,3.6795535038895,6.13389421252073,7.7637948907074e-06,0.000227624228224257,"ENSG00000143772","ITPKB"
"ENSG00000048162",-1.39158245085379,5.38864554810594,-6.13261253905485,7.78221900506526e-06,0.000227886149694667,"ENSG00000048162","NOP16"
"ENSG00000136010",-2.64093493518916,2.84141884378447,-6.1309746713716,7.80603561320742e-06,0.000228305148775075,"ENSG00000136010","ALDH1L2"
"ENSG00000130477",-1.55240301850026,6.77414856544122,-6.11915849745559,7.97838959232033e-06,0.000233062154368365,"ENSG00000130477","UNC13A"
"ENSG00000064225",2.23253709328379,2.2586424781948,6.10412834643759,8.20365323140416e-06,0.000239351301813459,"ENSG00000064225","ST3GAL6"
"ENSG00000170011",-2.79486748383114,1.27207914612476,-6.09820040199526,8.29472888711647e-06,0.000241714842278448,"ENSG00000170011","MYRIP"
"ENSG00000151952",-1.82060931163842,3.15375026711508,-6.08954560169298,8.42849956065321e-06,0.000245315310848976,"ENSG00000151952","TMEM132D"
"ENSG00000152192",2.75877192214321,-0.969741423909461,6.08422014967265,8.51260276178231e-06,0.000247463217331619,"ENSG00000152192","POU4F1"
"ENSG00000155093",-2.09270586495092,1.84692947884249,-6.08156806960128,8.55422099666155e-06,0.000248372375540311,"ENSG00000155093","PTPRN2"
"ENSG00000054598",6.06715912022155,-3.03979848549213,6.0892119481732,8.57770077338386e-06,0.000248753322428132,"ENSG00000054598","FOXC1"
"ENSG00000091409",-1.43914775036105,6.99605809322871,-6.07357707658349,8.68209763125822e-06,0.000251477114984044,"ENSG00000091409","ITGA6"
"ENSG00000151640",-2.08900856588355,3.73187399532442,-6.07200790313171,8.70744859078637e-06,0.000251907536821641,"ENSG00000151640","DPYSL4"
"ENSG00000234224",2.56323490243181,0.320228871835834,6.0686291424885,8.76243742071592e-06,0.000253193318106174,"ENSG00000234224","TMEM229A"
"ENSG00000130768",-1.33442775942707,5.17523516268459,-6.04829362557852,9.09997063810782e-06,0.000262630402598852,"ENSG00000130768","SMPDL3B"
"ENSG00000144655",1.68764868427879,3.72708850406356,6.04139982221901,9.21749715926401e-06,0.000265702931318424,"ENSG00000144655","CSRNP1"
"ENSG00000131885",5.88864612639659,-4.93691660157138,6.03477842517386,9.47341910553121e-06,0.000272752685326158,"ENSG00000131885","KRT17P1"
"ENSG00000129521",1.55136378530253,4.62894775661768,6.02333022402213,9.53309642509282e-06,0.000274142169292609,"ENSG00000129521","EGLN3"
"ENSG00000124391",-6.58268455258858,-1.77705681425596,-6.03289160368645,9.59386196183729e-06,0.000275559585439757,"ENSG00000124391","IL17C"
"ENSG00000130528",1.85912260317344,3.07900962356411,6.01469703200874,9.6878265319118e-06,0.00027792603427033,"ENSG00000130528","HRC"
"ENSG00000255974",-4.69298912468799,-3.83585677190292,-6.01383282842573,9.74851477801611e-06,0.000279333337529502,"ENSG00000255974","CYP2A6"
"ENSG00000284691",-1.8647260485231,3.4322345878641,-6.00923814787278,9.78700878232162e-06,0.00027986909904043,"ENSG00000284691",NA
"ENSG00000130222",-2.64707130125065,1.58574877877492,-6.00906127258489,9.79052320481263e-06,0.00027986909904043,"ENSG00000130222","GADD45G"
"ENSG00000126353",4.07181435789776,-2.30886877112727,6.003360716324,9.9131710935266e-06,0.000283038126394484,"ENSG00000126353","CCR7"
