"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000073849",2.63665462071862,5.84987578091215,10.0268338277194,1.24282617761806e-07,4.3546790876787e-06,"ENSG00000073849","ST6GAL1"
"ENSG00000012822",-2.58497127603717,4.87986507879319,-10.0108064882509,1.26526379264271e-07,4.42647671456849e-06,"ENSG00000012822","CALCOCO1"
"ENSG00000283208",-5.48531656819789,0.953984517678444,-10.0074840461882,1.28789883678099e-07,4.49874340221195e-06,"ENSG00000283208",NA
"ENSG00000110042",-2.26226280917523,6.66890717653417,-9.98572242299269,1.3012198371887e-07,4.53830354258759e-06,"ENSG00000110042","DTX4"
"ENSG00000189410",3.50417851124588,3.35597960420669,9.96282508242769,1.33644502888636e-07,4.65402143290595e-06,"ENSG00000189410","SH2D5"
"ENSG00000100292",2.59691376092208,4.10772793685719,9.95286842307393,1.35014563366432e-07,4.69454307485117e-06,"ENSG00000100292","HMOX1"
"ENSG00000172458",-2.77167757709943,2.75896644505743,-9.947780435052,1.35797750440234e-07,4.7145661755892e-06,"ENSG00000172458","IL17D"
"ENSG00000181751",-2.09036220229847,5.57835259709501,-9.92517181539007,1.39276649772729e-07,4.82797410949977e-06,"ENSG00000181751","MACIR"
"ENSG00000115963",2.44331940803809,4.14395728287492,9.92373087818362,1.39506946334807e-07,4.82859659003578e-06,"ENSG00000115963","RND3"
"ENSG00000105447",1.93718362824244,6.34909650455829,9.92066153635948,1.39985314064697e-07,4.83779033712949e-06,"ENSG00000105447","GRWD1"
"ENSG00000141655",2.72875776921635,4.08228414723649,9.91538986825524,1.40835262201061e-07,4.85544667361433e-06,"ENSG00000141655","TNFRSF11A"
"ENSG00000178935",-2.71043376068998,4.34074870458456,-9.91482849626564,1.40923254379308e-07,4.85544667361433e-06,"ENSG00000178935","ZNF552"
"ENSG00000111704",2.70051551918624,6.20535503658808,9.88692642465644,1.45428191289666e-07,5.00308180019214e-06,"ENSG00000111704","NANOG"
"ENSG00000113407",1.8633686186057,7.70989257699871,9.8758467714078,1.47244454066554e-07,5.05791372428013e-06,"ENSG00000113407","TARS1"
"ENSG00000065911",1.95245348212972,6.73913126603352,9.84979868174349,1.51648320798602e-07,5.20133154594299e-06,"ENSG00000065911","MTHFD2"
"ENSG00000133980",1.94335438213589,7.38064976742511,9.83477433433123,1.54252314972214e-07,5.28267717239179e-06,"ENSG00000133980","VRTN"
"ENSG00000135046",-5.10208090257032,2.47594797533828,-9.8276137952035,1.5710476558264e-07,5.37227423962291e-06,"ENSG00000135046","ANXA1"
"ENSG00000175093",-2.12044584763818,5.21853194659967,-9.8029157132587,1.59934405869666e-07,5.46082340762191e-06,"ENSG00000175093","SPSB4"
"ENSG00000148948",-4.9674150445299,1.73321228175782,-9.80928543247692,1.60210150361965e-07,5.46203721024152e-06,"ENSG00000148948","LRRC4C"
"ENSG00000127824",2.49680473955707,4.58930384233177,9.79151591849492,1.62027867910533e-07,5.51573909623581e-06,"ENSG00000127824","TUBA4A"
"ENSG00000086712",2.0815386615482,5.48353514761384,9.77683034607615,1.64752956304768e-07,5.594623994767e-06,"ENSG00000086712","TXLNG"
"ENSG00000060718",-2.99565182965569,5.54644712598584,-9.77663472427243,1.64837206530074e-07,5.594623994767e-06,"ENSG00000060718","COL11A1"
"ENSG00000187123",-2.4673781850507,4.17211142279243,-9.77480915301182,1.65138549044934e-07,5.59649866658987e-06,"ENSG00000187123","LYPD6"
"ENSG00000108932",-5.26908378725355,0.977300293873205,-9.77833914686456,1.66440966895851e-07,5.61898491725399e-06,"ENSG00000108932","SLC16A6"
